workerid,proliferate.condition,resp_b,resp_c,resp_t,trial,error
273,condition1,98,97,98,1,
273,condition1,98,99,99,2,
273,condition1,98,98,98,21,
273,condition1,100,99,100,6,
273,condition1,100,100,100,20,
273,condition1,100,100,100,3,
273,condition1,100,100,100,9,
273,condition1,100,100,100,12,
273,condition1,100,100,100,19,
273,condition1,100,100,100,14,
273,condition1,100,100,100,17,
273,condition1,100,100,100,7,
273,condition1,100,100,100,X1,
273,condition1,100,100,100,11,
273,condition1,100,100,100,13,
273,condition1,100,100,100,10,
273,condition1,100,100,100,18,
273,condition1,100,100,100,4,
273,condition1,100,100,100,16,
273,condition1,100,100,100,8,
273,condition1,100,100,100,5,
273,condition1,100,100,100,15,
278,condition1,63,97,63,1,
278,condition1,79,56,57,2,
278,condition1,47,99,47,9,
278,condition1,20,20,99,11,
278,condition1,48,47,47,21,
278,condition1,49,99,27,8,
278,condition1,44,14,44,19,
278,condition1,99,47,48,6,
278,condition1,18,20,52,17,
278,condition1,40,23,22,20,
278,condition1,59,99,98,3,
278,condition1,33,98,98,5,
278,condition1,100,100,100,X1,
278,condition1,49,51,52,12,
278,condition1,39,40,40,18,
278,condition1,100,98,35,4,
278,condition1,23,39,56,16,
278,condition1,65,21,66,14,
278,condition1,29,28,65,15,
278,condition1,20,41,100,10,
278,condition1,46,98,31,7,
278,condition1,39,51,54,13,
282,condition1,50,100,50,1,
282,condition1,82,75,76,2,
282,condition1,50,80,42,8,
282,condition1,74,74,75,17,
282,condition1,58,69,71,13,
282,condition1,87,86,87,12,
282,condition1,67,66,67,15,
282,condition1,94,97,99,3,
282,condition1,88,76,91,14,
282,condition1,100,100,67,4,
282,condition1,76,76,76,19,
282,condition1,82,100,82,9,
282,condition1,99,100,100,X1,
282,condition1,81,79,92,16,
282,condition1,100,92,92,6,
282,condition1,72,72,75,21,
282,condition1,86,83,95,10,
282,condition1,88,88,100,11,
282,condition1,81,99,100,5,
282,condition1,88,88,88,20,
282,condition1,91,100,80,7,
282,condition1,100,100,100,18,
304,condition1,51,74,60,1,
304,condition1,55,36,43,2,
304,condition1,44,55,79,10,
304,condition1,28,26,56,17,
304,condition1,50,64,35,8,
304,condition1,52,51,51,18,
304,condition1,43,67,43,9,
304,condition1,69,45,47,6,
304,condition1,39,38,52,16,
304,condition1,39,70,72,5,
304,condition1,56,31,56,14,
304,condition1,31,30,67,11,
304,condition1,67,66,67,X1,
304,condition1,45,34,47,19,
304,condition1,54,68,54,7,
304,condition1,38,36,53,15,
304,condition1,60,75,77,3,
304,condition1,31,30,32,21,
304,condition1,37,64,58,13,
304,condition1,72,69,43,4,
304,condition1,55,61,56,12,
304,condition1,52,53,41,20,
290,condition1,100,72,84,1,
290,condition1,79,100,89,2,
290,condition1,100,77,77,5,
290,condition1,100,100,100,21,
290,condition1,100,100,94,15,
290,condition1,90,100,100,20,
290,condition1,100,100,100,18,
290,condition1,100,83,100,9,
290,condition1,85,85,100,4,
290,condition1,100,92,92,6,
290,condition1,91,100,91,14,
290,condition1,92,100,92,19,
290,condition1,100,100,100,X1,
290,condition1,100,100,92,17,
290,condition1,100,92,86,16,
290,condition1,100,93,88,10,
290,condition1,90,82,100,8,
290,condition1,100,100,100,12,
290,condition1,100,100,87,11,
290,condition1,100,93,93,13,
290,condition1,100,93,93,3,
290,condition1,94,90,100,7,
301,condition1,99,99,98,1,
301,condition1,98,99,97,2,
301,condition1,98,97,97,14,
301,condition1,99,99,98,15,
301,condition1,100,99,98,20,
301,condition1,99,97,97,7,
301,condition1,98,98,99,4,
301,condition1,97,98,98,17,
301,condition1,99,100,99,21,
301,condition1,99,98,98,16,
301,condition1,99,98,99,13,
301,condition1,98,96,97,11,
301,condition1,98,99,99,X1,
301,condition1,98,97,98,19,
301,condition1,99,99,100,18,
301,condition1,98,98,98,5,
301,condition1,99,99,98,3,
301,condition1,100,100,99,8,
301,condition1,97,98,97,10,
301,condition1,99,98,99,9,
301,condition1,100,97,99,6,
301,condition1,98,98,100,12,
297,condition1,53,89,87,1,
297,condition1,65,29,40,2,
297,condition1,78,97,11,8,
297,condition1,73,96,73,9,
297,condition1,80,99,98,3,
297,condition1,34,34,82,17,
297,condition1,59,59,59,18,
297,condition1,97,74,74,6,
297,condition1,52,67,100,10,
297,condition1,80,99,64,7,
297,condition1,66,80,81,13,
297,condition1,45,67,85,16,
297,condition1,97,99,97,X1,
297,condition1,76,31,76,14,
297,condition1,99,98,52,4,
297,condition1,51,52,72,15,
297,condition1,43,42,44,21,
297,condition1,27,99,99,5,
297,condition1,50,28,50,19,
297,condition1,54,16,16,20,
297,condition1,78,78,78,12,
297,condition1,22,27,100,11,
276,condition1,100,100,100,1,
276,condition1,100,100,100,2,
276,condition1,100,100,100,16,
276,condition1,100,100,100,7,
276,condition1,100,100,100,4,
276,condition1,100,100,100,6,
276,condition1,100,100,100,3,
276,condition1,100,100,100,9,
