workerid,proliferate.condition,resp_b,resp_g,resp_y,trial,error
489,condition1,36,49,70,1,
489,condition1,48,46,39,2,
489,condition1,65,30,29,4,
489,condition1,54,38,42,16,
489,condition1,53,64,55,5,
489,condition1,52,40,39,3,
489,condition1,34,51,31,11,
489,condition1,46,34,34,14,
489,condition1,33,32,26,13,
489,condition1,36,46,46,20,
489,condition1,38,50,37,19,
489,condition1,51,50,50,18,
489,condition1,91,90,89,X1,
489,condition1,55,46,79,10,
489,condition1,58,75,55,6,
489,condition1,64,45,69,9,
489,condition1,66,42,78,8,
489,condition1,75,76,36,7,
489,condition1,60,59,58,12,
489,condition1,47,46,68,17,
489,condition1,50,49,49,21,
489,condition1,51,51,51,15,
480,condition1,85,85,88,1,
480,condition1,82,87,85,2,
480,condition1,86,86,82,11,
480,condition1,86,89,80,7,
480,condition1,86,83,83,20,
480,condition1,84,83,83,16,
480,condition1,89,87,89,13,
480,condition1,82,87,91,10,
480,condition1,90,85,90,5,
480,condition1,92,98,93,6,
480,condition1,87,87,86,4,
480,condition1,86,91,89,15,
480,condition1,93,94,94,X1,
480,condition1,85,89,91,14,
480,condition1,92,88,88,9,
480,condition1,90,95,90,3,
480,condition1,91,88,88,17,
480,condition1,86,86,89,21,
480,condition1,90,86,91,12,
480,condition1,95,87,91,19,
480,condition1,85,82,87,8,
480,condition1,88,89,88,18,
464,condition1,95,95,95,1,
464,condition1,89,90,89,2,
464,condition1,86,87,86,16,
464,condition1,92,91,91,18,
464,condition1,55,57,55,19,
464,condition1,36,78,15,8,
464,condition1,36,11,37,6,
464,condition1,34,34,52,13,
464,condition1,95,96,94,21,
464,condition1,48,48,10,9,
464,condition1,23,6,5,3,
464,condition1,78,4,76,11,
464,condition1,0,3,0,X1,
464,condition1,56,31,0,10,
464,condition1,5,63,6,5,
464,condition1,45,7,6,4,
464,condition1,79,6,5,14,
464,condition1,37,38,12,15,
464,condition1,15,15,14,12,
464,condition1,31,79,77,20,
464,condition1,33,8,57,7,
464,condition1,81,81,36,17,
466,condition1,99,99,99,1,
466,condition1,99,99,99,2,
466,condition1,99,99,99,7,
466,condition1,98,98,97,16,
466,condition1,98,99,98,13,
466,condition1,97,98,99,20,
466,condition1,99,99,100,19,
466,condition1,98,99,99,17,
466,condition1,100,98,99,11,
466,condition1,98,99,98,8,
466,condition1,99,98,100,6,
466,condition1,98,98,99,12,
466,condition1,99,99,98,X1,
466,condition1,98,98,98,15,
466,condition1,98,98,99,9,
466,condition1,98,98,99,10,
466,condition1,99,100,99,14,
466,condition1,98,100,99,21,
466,condition1,98,99,99,18,
466,condition1,99,99,100,3,
466,condition1,100,99,100,4,
466,condition1,99,100,100,5,
445,condition1,100,97,98,1,
445,condition1,98,98,100,2,
445,condition1,100,97,97,12,
445,condition1,99,48,97,6,
445,condition1,76,76,99,13,
445,condition1,100,99,99,21,
445,condition1,79,51,50,3,
445,condition1,100,49,100,11,
445,condition1,99,47,47,4,
445,condition1,99,99,73,15,
445,condition1,100,100,46,9,
445,condition1,99,77,77,14,
445,condition1,51,51,51,X1,
445,condition1,74,98,48,8,
445,condition1,99,100,47,10,
445,condition1,49,100,49,5,
445,condition1,76,99,98,16,
445,condition1,76,47,99,7,
445,condition1,98,98,98,18,
445,condition1,99,97,99,19,
445,condition1,98,99,99,20,
445,condition1,99,98,70,17,
487,condition1,8,39,62,1,
487,condition1,100,24,67,2,
487,condition1,74,35,34,3,
487,condition1,63,100,100,20,
487,condition1,100,61,20,10,
487,condition1,100,22,100,11,
487,condition1,24,100,22,5,
487,condition1,53,100,18,8,
487,condition1,24,24,55,13,
487,condition1,65,19,17,4,
487,condition1,75,75,75,18,
487,condition1,100,100,100,21,
487,condition1,24,17,20,X1,
487,condition1,62,64,26,15,
487,condition1,10,18,67,7,
487,condition1,29,0,27,6,
487,condition1,45,74,47,19,
487,condition1,21,71,48,16,
487,condition1,21,21,21,12,
487,condition1,100,17,19,14,
487,condition1,30,30,9,9,
487,condition1,100,100,22,17,
435,condition1,0,100,39,1,
435,condition1,16,100,45,2,
435,condition1,21,100,21,18,
435,condition1,2,100,71,11,
435,condition1,26,99,12,14,
435,condition1,4,100,5,7,
435,condition1,23,98,18,8,
435,condition1,1,100,2,16,
435,condition1,12,97,22,5,
435,condition1,1,100,46,19,
435,condition1,2,99,52,13,
435,condition1,7,100,15,12,
435,condition1,23,100,14,X1,
435,condition1,2,100,4,21,
435,condition1,0,100,7,20,
435,condition1,9,100,19,10,
435,condition1,33,100,8,9,
435,condition1,14,100,19,4,
435,condition1,17,100,27,15,
435,condition1,25,100,25,6,
435,condition1,16,100,16,17,
435,condition1,17,97,36,3,
486,condition1,100,64,27,1,
486,condition1,25,73,49,2,
486,condition1,20,100,20,11,
486,condition1,48,100,46,6,
486,condition1,36,16,16,20,
486,condition1,13,59,60,14,
486,condition1,9,10,71,17,
486,condition1,55,57,29,13,
486,condition1,64,100,100,3,
486,condition1,5,5,5,21,
486,condition1,36,37,100,9,
486,condition1,74,0,100,8,
486,condition1,100,100,100,X1,
486,condition1,75,100,42,7,
486,condition1,45,17,45,19,
486,condition1,33,31,31,18,
486,condition1,100,7,100,5,
486,condition1,65,4,36,16,
486,condition1,6,23,100,10,
486,condition1,59,59,60,12,
486,condition1,39,100,100,4,
486,condition1,40,39,57,15,
477,condition1,100,83,72,1,
477,condition1,61,89,73,2,
477,condition1,92,100,100,3,
477,condition1,79,79,100,9,
477,condition1,90,100,90,6,
477,condition1,90,90,90,12,
477,condition1,88,100,78,7,
477,condition1,79,79,79,18,
477,condition1,67,67,67,21,
477,condition1,67,67,86,17,
477,condition1,71,82,100,10,
477,condition1,74,100,74,11,
477,condition1,100,100,100,X1,
477,condition1,100,75,100,5,
477,condition1,91,69,100,8,
477,condition1,72,90,91,14,
477,condition1,78,79,92,15,
477,condition1,79,100,100,4,
477,condition1,82,72,82,19,
477,condition1,88,88,78,13,
477,condition1,80,70,70,20,
477,condition1,93,74,85,16,
442,condition1,100,60,22,1,
442,condition1,15,76,39,2,
442,condition1,13,36,100,10,
442,condition1,45,100,100,3,
442,condition1,26,9,26,19,
442,condition1,17,16,100,9,
442,condition1,14,100,13,11,
442,condition1,14,43,44,14,
442,condition1,23,22,48,15,
442,condition1,49,100,50,6,
442,condition1,20,20,42,17,
442,condition1,18,16,16,21,
442,condition1,100,100,100,X1,
442,condition1,36,16,16,20,
442,condition1,47,48,49,12,
442,condition1,48,100,21,7,
442,condition1,21,100,100,4,
442,condition1,45,14,29,16,
442,condition1,45,19,100,8,
442,condition1,47,47,31,13,
442,condition1,18,19,18,18,
442,condition1,100,10,100,5,
470,condition1,100,100,100,1,
470,condition1,100,100,100,2,
470,condition1,100,100,100,20,
470,condition1,100,100,99,6,
470,condition1,100,100,100,13,
470,condition1,100,100,100,21,
470,condition1,100,100,100,19,
470,condition1,100,100,100,10,
470,condition1,100,100,100,16,
470,condition1,97,98,99,17,
470,condition1,98,98,98,4,
470,condition1,97,99,98,18,
470,condition1,99,99,99,X1,
470,condition1,98,98,98,14,
470,condition1,98,98,99,11,
470,condition1,99,99,99,3,
470,condition1,98,99,100,7,
470,condition1,98,99,99,12,
470,condition1,99,98,98,9,
470,condition1,97,99,98,15,
470,condition1,99,100,99,5,
470,condition1,97,98,98,8,
468,condition1,98,70,45,1,
468,condition1,32,80,60,2,
468,condition1,38,37,37,18,
468,condition1,77,15,98,8,
468,condition1,74,75,49,13,
468,condition1,78,96,96,3,
468,condition1,41,98,99,4,
468,condition1,55,56,78,15,
468,condition1,40,22,63,19,
468,condition1,31,60,97,10,
468,condition1,71,97,31,7,
468,condition1,39,11,23,20,
468,condition1,98,97,98,X1,
468,condition1,18,16,60,17,
468,condition1,78,98,74,6,
468,condition1,97,20,99,5,
468,condition1,31,97,31,11,
468,condition1,29,28,29,21,
468,condition1,15,69,71,14,
468,condition1,50,50,98,9,
468,condition1,77,25,67,16,
468,condition1,86,86,87,12,
437,condition1,100,100,100,1,
437,condition1,77,100,88,2,
437,condition1,100,88,87,20,
437,condition1,100,100,100,18,
437,condition1,100,75,91,16,
437,condition1,82,82,100,9,
437,condition1,88,100,78,7,
437,condition1,100,100,100,21,
437,condition1,86,100,86,11,
437,condition1,88,100,100,3,
437,condition1,76,100,100,14,
437,condition1,83,85,100,17,
437,condition1,100,100,100,X1,
437,condition1,71,84,100,10,
437,condition1,88,100,88,6,
437,condition1,80,81,100,15,
437,condition1,100,100,100,12,
437,condition1,89,75,100,8,
437,condition1,100,75,100,5,
437,condition1,100,87,100,19,
437,condition1,100,100,88,13,
437,condition1,73,100,100,4,
460,condition1,100,73,39,1,
460,condition1,35,72,53,2,
460,condition1,55,55,54,18,
460,condition1,87,65,84,5,
460,condition1,63,63,68,15,
460,condition1,82,87,86,3,
460,condition1,70,81,87,10,
460,condition1,62,61,72,17,
460,condition1,68,68,56,13,
460,condition1,47,63,62,14,
460,condition1,60,81,57,11,
460,condition1,62,51,61,19,
460,condition1,100,100,100,X1,
460,condition1,78,69,79,8,
460,condition1,88,98,76,7,
460,condition1,77,75,97,9,
460,condition1,85,99,87,6,
460,condition1,57,58,58,21,
460,condition1,57,54,53,20,
460,condition1,78,79,79,12,
460,condition1,77,97,98,4,
460,condition1,81,57,71,16,
450,condition1,100,70,39,1,
450,condition1,62,100,66,2,
450,condition1,80,100,51,7,
450,condition1,68,100,68,11,
450,condition1,88,70,100,8,
450,condition1,68,47,46,20,
450,condition1,77,77,48,13,
450,condition1,73,100,98,3,
450,condition1,58,59,100,17,
450,condition1,50,49,49,21,
450,condition1,68,69,69,18,
450,condition1,100,61,100,5,
450,condition1,100,100,100,X1,
450,condition1,100,75,61,16,
450,condition1,63,75,100,10,
450,condition1,64,86,86,14,
450,condition1,66,66,82,15,
450,condition1,75,100,100,4,
450,condition1,66,65,100,9,
450,condition1,80,100,81,6,
450,condition1,85,86,87,12,
450,condition1,73,52,74,19,
458,condition1,98,99,99,1,
458,condition1,98,99,98,2,
458,condition1,97,97,97,15,
458,condition1,95,97,98,8,
458,condition1,97,98,98,3,
458,condition1,98,98,99,16,
458,condition1,46,47,97,9,
458,condition1,97,99,98,13,
458,condition1,49,49,100,10,
458,condition1,98,98,98,17,
458,condition1,97,99,98,21,
458,condition1,97,97,99,20,
458,condition1,98,98,98,X1,
458,condition1,47,100,49,11,
458,condition1,97,48,100,7,
458,condition1,48,99,99,4,
458,condition1,99,99,99,19,
458,condition1,96,99,98,18,
458,condition1,51,97,45,6,
458,condition1,100,48,99,5,
458,condition1,98,98,98,14,
458,condition1,98,99,98,12,
452,condition1,96,52,31,1,
452,condition1,21,53,34,2,
452,condition1,50,33,46,19,
452,condition1,54,54,41,13,
452,condition1,28,46,46,14,
452,condition1,34,82,83,4,
452,condition1,40,32,29,20,
452,condition1,45,46,84,9,
452,condition1,27,82,29,11,
452,condition1,75,35,83,5,
452,condition1,69,33,96,8,
452,condition1,53,30,40,16,
452,condition1,100,100,100,X1,
452,condition1,29,39,88,10,
452,condition1,70,89,41,7,
452,condition1,53,92,50,6,
452,condition1,39,40,62,15,
452,condition1,50,49,49,18,
452,condition1,27,38,47,17,
452,condition1,49,50,49,21,
452,condition1,68,88,87,3,
452,condition1,72,74,76,12,
482,condition1,84,56,33,1,
482,condition1,29,69,39,2,
482,condition1,38,38,60,15,
482,condition1,60,60,38,13,
482,condition1,54,32,75,8,
482,condition1,43,75,75,4,
482,condition1,31,74,31,11,
482,condition1,46,45,45,18,
482,condition1,35,34,74,9,
482,condition1,43,67,67,3,
482,condition1,59,31,43,16,
482,condition1,31,59,58,14,
482,condition1,81,80,81,X1,
482,condition1,50,26,50,19,
482,condition1,35,35,34,21,
482,condition1,50,34,34,20,
482,condition1,28,44,72,10,
482,condition1,66,36,68,5,
482,condition1,53,71,51,6,
482,condition1,52,78,33,7,
482,condition1,58,57,56,12,
482,condition1,34,33,63,17,
478,condition1,100,47,5,1,
478,condition1,14,80,35,2,
478,condition1,18,19,19,21,
478,condition1,20,20,77,17,
478,condition1,57,100,19,7,
478,condition1,71,70,27,13,
478,condition1,28,28,100,9,
478,condition1,21,37,100,10,
478,condition1,36,20,35,19,
478,condition1,76,13,29,16,
478,condition1,78,100,78,6,
478,condition1,45,45,77,15,
478,condition1,100,100,100,X1,
478,condition1,100,11,100,5,
478,condition1,52,6,6,20,
478,condition1,43,100,100,4,
478,condition1,66,100,100,3,
478,condition1,14,69,69,14,
478,condition1,12,100,9,11,
478,condition1,48,47,47,18,
478,condition1,73,13,100,8,
478,condition1,74,73,73,12,
457,condition1,100,48,22,1,
457,condition1,9,49,15,2,
457,condition1,52,15,28,16,
457,condition1,35,20,14,20,
457,condition1,24,100,98,4,
457,condition1,18,98,14,11,
457,condition1,49,21,95,8,
457,condition1,50,48,26,13,
457,condition1,27,24,100,9,
457,condition1,47,97,97,3,
457,condition1,20,22,45,15,
457,condition1,49,97,28,7,
457,condition1,99,99,97,X1,
457,condition1,13,45,48,14,
457,condition1,26,25,22,18,
457,condition1,11,24,100,10,
457,condition1,14,5,45,17,
457,condition1,45,100,45,6,
457,condition1,6,8,7,21,
457,condition1,18,12,18,19,
457,condition1,96,13,95,5,
457,condition1,50,51,49,12,
473,condition1,98,99,97,1,
473,condition1,98,98,100,2,
473,condition1,99,98,99,13,
473,condition1,97,98,99,18,
473,condition1,98,99,99,16,
473,condition1,98,98,100,7,
473,condition1,82,82,81,21,
473,condition1,95,94,95,4,
473,condition1,94,95,94,11,
473,condition1,98,85,99,5,
473,condition1,80,95,95,14,
473,condition1,91,94,97,3,
473,condition1,93,94,94,X1,
473,condition1,94,94,95,19,
473,condition1,94,96,96,6,
473,condition1,91,91,96,12,
473,condition1,94,90,93,10,
473,condition1,95,93,94,20,
473,condition1,96,98,100,17,
473,condition1,96,97,99,9,
473,condition1,94,92,96,8,
473,condition1,94,94,94,15,
444,condition1,95,57,39,1,
444,condition1,26,58,34,2,
444,condition1,46,46,43,21,
444,condition1,97,42,96,5,
444,condition1,49,50,94,9,
444,condition1,43,95,95,4,
444,condition1,46,47,45,18,
444,condition1,66,34,54,16,
444,condition1,68,97,38,7,
444,condition1,38,37,71,17,
444,condition1,52,38,50,19,
444,condition1,82,83,80,12,
444,condition1,100,100,100,X1,
444,condition1,64,100,100,3,
444,condition1,41,100,39,11,
444,condition1,69,100,67,6,
444,condition1,38,67,66,14,
444,condition1,53,52,71,15,
444,condition1,39,50,100,10,
444,condition1,72,33,100,8,
444,condition1,50,30,29,20,
444,condition1,76,75,33,13,
483,condition1,98,97,97,1,
483,condition1,98,99,100,2,
483,condition1,99,100,99,15,
483,condition1,98,96,99,14,
483,condition1,99,99,99,5,
483,condition1,99,99,98,13,
483,condition1,99,99,99,21,
483,condition1,99,100,98,7,
483,condition1,99,100,98,11,
483,condition1,99,96,99,18,
483,condition1,99,99,99,10,
483,condition1,99,99,99,16,
483,condition1,99,99,99,X1,
483,condition1,98,100,100,8,
483,condition1,99,99,99,17,
483,condition1,98,100,100,6,
483,condition1,100,99,99,4,
483,condition1,99,98,98,3,
483,condition1,98,99,98,20,
483,condition1,100,97,98,9,
483,condition1,100,99,99,12,
483,condition1,100,99,99,19,
479,condition1,100,84,87,1,
479,condition1,90,92,87,2,
479,condition1,69,69,91,17,
479,condition1,77,100,77,11,
479,condition1,95,95,100,6,
479,condition1,85,85,100,9,
479,condition1,92,84,84,16,
479,condition1,72,85,100,10,
479,condition1,89,100,82,7,
479,condition1,100,84,100,5,
479,condition1,90,91,79,13,
479,condition1,93,100,100,3,
479,condition1,100,100,100,X1,
479,condition1,90,91,91,12,
479,condition1,84,83,91,15,
479,condition1,94,87,88,20,
479,condition1,86,98,98,4,
479,condition1,92,92,93,18,
479,condition1,92,86,92,19,
479,condition1,91,91,91,21,
479,condition1,86,75,98,8,
479,condition1,75,89,90,14,
485,condition1,30,30,30,1,
485,condition1,27,27,28,2,
485,condition1,30,30,30,18,
485,condition1,31,32,32,6,
485,condition1,32,32,32,4,
485,condition1,29,30,29,13,
485,condition1,29,31,30,14,
485,condition1,28,29,29,21,
485,condition1,30,31,32,19,
485,condition1,31,30,31,17,
485,condition1,29,30,30,10,
485,condition1,26,26,26,11,
485,condition1,29,28,29,X1,
485,condition1,31,33,32,3,
485,condition1,32,31,31,5,
485,condition1,27,28,27,15,
485,condition1,26,28,27,8,
485,condition1,28,28,28,16,
