id,trial,c,t
6715,1,100,100
6715,2,100,100
6715,3,100,100
6715,5,100,100
6715,12,100,100
6715,11,100,100
6715,4,100,100
6715,19,99,100
6715,13,100,100
6715,17,100,100
6715,20,100,100
6715,14,100,100
6715,21,100,100
6715,8,100,100
6715,10,100,100
6715,15,100,100
6715,6,100,100
6715,18,100,100
6715,16,100,100
6715,9,100,100
6715,7,100,100
6738,1,70,70
6738,2,73,72
6738,7,100,100
6738,18,88,75
6738,9,82,82
6738,19,83,82
6738,12,85,83
6738,17,82,74
6738,10,76,75
6738,13,81,83
6738,15,78,79
6738,21,85,85
6738,20,83,73
6738,11,83,79
6738,8,86,83
6738,16,81,80
6738,6,84,77
6738,3,91,90
6738,5,88,87
6738,14,86,87
6738,4,86,87
6727,1,100,100
6727,2,100,85
6727,14,100,73
6727,10,90,80
6727,19,62,62
6727,20,58,58
6727,18,79,59
6727,8,88,87
6727,15,52,52
6727,5,63,67
6727,17,63,53
6727,9,58,69
6727,16,47,74
6727,6,74,60
6727,21,56,54
6727,13,48,47
6727,3,49,51
6727,7,49,49
6727,11,50,49
6727,4,49,46
6727,12,51,49
6727,1,51,51
6727,2,49,47
6727,12,45,49
6727,11,52,50
6727,8,51,48
6727,15,51,55
6727,20,58,56
6727,6,59,58
6727,18,55,55
6727,7,51,49
6727,10,53,52
6727,16,54,53
6727,9,54,53
6727,3,54,56
6727,13,58,58
6727,4,56,55
6727,19,55,53
6727,21,56,54
6727,17,55,55
6727,5,50,53
6727,14,59,59
6693,1,100,99
6693,2,99,99
6693,21,100,99
6693,10,98,98
6693,20,98,99
6693,8,98,100
6693,12,99,98
6693,7,98,99
6693,15,99,98
6693,14,99,97
6693,9,99,99
6693,11,98,99
6693,5,99,98
6693,4,98,99
6693,17,99,98
6693,19,99,98
6693,13,99,99
6693,16,99,99
6693,18,99,100
6693,3,99,99
6693,6,98,98
6737,1,100,100
6737,2,100,100
6737,18,100,100
6737,17,100,100
6737,11,100,100
6737,3,100,100
6737,13,100,100
6737,6,100,100
6737,7,100,100
6737,16,100,100
6737,14,100,100
6737,20,100,100
6737,8,100,100
6737,15,100,100
6737,10,100,100
6737,21,100,100
6737,4,100,100
6737,9,100,100
6737,19,100,100
6737,12,100,100
6737,5,100,100
6753,1,74,15
6753,2,7,35
6753,19,11,66
6753,12,13,81
6753,13,25,15
6753,20,11,94
6753,11,18,91
6753,14,15,15
6753,18,17,84
6753,10,63,90
6753,3,42,28
6753,16,73,91
6753,15,51,70
6753,9,67,67
6753,7,30,15
6753,5,23,59
6753,4,71,83
6753,8,49,65
6753,21,29,81
6753,6,24,65
6753,17,25,78
6669,1,78,31
6669,2,48,68
6669,5,50,29
6669,16,32,71
6669,10,40,82
6669,21,93,94
6669,12,41,97
6669,9,41,68
6669,13,26,30
6669,3,38,38
6669,20,76,76
6669,15,51,19
6669,14,98,35
6669,17,7,10
6669,18,33,33
6669,7,13,14
6669,6,24,23
6669,19,55,34
6669,11,34,35
6669,8,66,35
6669,4,28,30
6733,1,0,100
6733,2,100,100
6733,18,100,50
6733,14,100,100
6733,11,98,51
6733,16,100,100
6733,3,99,100
6733,5,100,51
6733,8,98,98
6733,12,100,46
6733,20,100,46
6733,6,100,45
6733,13,100,47
6733,21,99,49
6733,10,98,98
6733,4,99,98
6733,15,100,100
6733,17,100,47
6733,9,100,100
6733,7,100,100
6733,19,99,48
6754,1,100,50
6754,2,49,49
6754,14,50,50
6754,11,4,97
6754,3,2,18
6754,9,100,80
6754,21,3,98
6754,6,20,97
6754,10,85,96
6754,12,24,98
6754,4,96,84
6754,13,4,51
6754,19,47,83
6754,17,3,69
6754,8,23,53
6754,18,47,74
6754,5,3,75
6754,7,3,49
6754,15,81,46
6754,16,78,97
6754,20,52,97
6739,1,70,59
6739,2,74,74
6739,13,61,61
6739,11,51,43
6739,6,56,64
6739,17,57,26
6739,21,87,99
6739,5,55,42
6739,9,41,30
6739,8,61,60
6739,7,55,55
6739,20,60,74
6739,4,72,54
6739,14,66,66
6739,10,35,55
6739,15,34,25
6739,19,61,37
6739,12,71,84
6739,16,59,82
6739,3,91,91
6739,18,90,67
6667,1,100,63
6667,2,100,52
6667,21,48,100
6667,8,100,70
6667,19,60,100
6667,11,21,31
6667,6,64,100
6667,13,0,34
6667,14,73,20
6667,3,10,37
6667,7,4,28
6667,16,47,100
6667,5,8,48
6667,15,75,12
6667,4,87,51
6667,18,10,38
6667,17,7,43
6667,10,48,88
6667,20,30,90
6667,12,35,85
6667,9,62,33
6749,1,87,23
6749,2,71,46
6749,20,100,100
6749,19,55,83
6749,21,100,100
6749,16,48,87
6749,7,37,47
6749,12,77,83
6749,15,30,37
6749,11,80,81
6749,13,10,43
6749,3,49,49
6749,9,67,47
6749,4,78,58
6749,17,20,33
6749,18,33,51
6749,14,80,54
6749,8,74,46
6749,10,67,80
6749,5,19,47
6749,6,41,72
6722,1,50,50
6722,2,47,48
6722,14,48,48
6722,19,48,48
6722,11,50,50
6722,13,48,49
6722,18,47,47
6722,20,48,49
6722,15,49,49
6722,8,48,48
6722,4,50,50
6722,12,48,48
6722,9,47,48
6722,7,50,50
6722,10,47,47
6722,17,48,48
6722,5,47,48
6722,6,46,46
6722,21,50,51
6722,16,50,51
6722,3,48,49
6725,1,54,67
6725,2,46,57
6725,19,58,57
6725,9,68,58
6725,5,59,69
6725,16,46,58
6725,15,47,56
6725,12,45,59
6725,3,47,37
6725,4,61,63
6725,14,47,58
6725,18,47,59
6725,11,56,68
6725,17,49,62
6725,8,43,56
6725,20,35,81
6725,13,66,52
6725,10,46,59
6725,21,48,63
6725,6,48,64
6725,7,64,49
6613,1,67,34
6613,2,31,58
6613,20,46,63
6613,4,30,53
6613,13,64,44
6613,15,47,59
6613,14,45,45
6613,3,58,47
6613,5,51,45
6613,16,54,38
6613,19,54,52
6613,18,46,61
6613,7,43,38
6613,17,55,35
6613,6,53,44
6613,11,58,33
6613,10,52,41
6613,9,47,55
6613,21,60,48
6613,8,49,49
6613,12,48,58
6613,1,50,45
6613,2,47,36
6613,15,45,42
6613,19,64,48
6613,9,48,35
6613,5,55,47
6613,7,57,38
6613,6,44,52
6613,4,56,46
6613,21,57,41
6613,3,39,51
6613,12,61,49
6613,8,42,51
6613,13,53,43
6613,14,42,53
6613,20,55,45
6613,18,41,51
6613,16,55,45
6613,10,42,49
6613,17,56,48
6613,11,41,48
6802,1,48,49
6802,2,48,48
6802,5,47,48
6802,11,47,48
6802,13,48,49
6802,16,48,48
6802,3,46,46
6802,15,48,48
6802,14,48,48
6802,8,47,47
6802,19,45,45
6802,7,46,46
6802,6,45,45
6802,21,45,46
6802,9,45,45
6802,12,46,47
6802,4,48,48
6802,20,49,48
6802,10,50,49
6802,18,53,53
6802,17,53,54
6783,1,90,48
6783,2,67,80
6783,19,66,81
6783,18,62,76
6783,10,67,83
6783,12,77,79
6783,14,74,48
6783,9,72,60
6783,15,80,54
6783,3,80,86
6783,11,78,68
6783,5,68,79
6783,13,61,78
6783,16,76,93
6783,8,68,56
6783,21,90,94
6783,4,88,81
6783,20,76,89
6783,17,59,73
6783,6,78,88
6783,7,71,83
6819,1,88,88
6819,2,90,90
6819,21,90,90
6819,13,90,90
6819,5,88,88
6819,20,90,90
6819,19,92,92
6819,8,91,91
6819,9,91,91
6819,3,92,92
6819,12,91,91
