id,trial,b,y
6963,1,87,36
6963,2,34,53
6963,3,40,57
6963,14,40,33
6963,6,78,71
6963,8,33,53
6963,15,45,25
6963,11,7,7
6963,21,95,95
6963,10,74,52
6963,18,27,46
6963,5,55,21
6963,17,18,15
6963,7,21,15
6963,13,15,35
6963,4,85,79
6963,16,40,42
6963,9,57,47
6963,20,79,79
6963,12,73,76
6963,19,72,68
6812,1,100,100
6812,2,100,100
6812,8,100,100
6812,5,100,100
6812,21,100,100
6812,18,100,100
6812,14,100,100
6812,13,100,100
6812,15,100,100
6812,7,100,100
6812,17,100,100
6812,19,100,100
6812,10,100,100
6812,4,100,100
6812,3,100,100
6812,12,100,100
6812,9,100,92
6812,16,100,100
6812,6,100,100
6812,20,100,100
6812,11,100,100
6961,1,33,48
6961,2,53,53
6961,5,51,51
6961,20,43,44
6961,8,49,47
6961,11,52,45
6961,12,71,27
6961,3,29,28
6961,17,84,83
6961,16,27,26
6961,18,50,51
6961,6,70,69
6961,13,26,27
6961,9,74,75
6961,7,77,75
6961,19,32,31
6961,15,37,38
6961,10,61,37
6961,4,22,22
6961,21,75,74
6961,14,20,18
6955,1,98,98
6955,2,97,98
6955,11,98,97
6955,12,97,97
6955,3,100,100
6955,18,98,31
6955,9,1,0
6955,8,99,100
6955,17,1,100
6955,21,98,96
6955,5,0,97
6955,4,99,1
6955,10,98,0
6955,6,98,97
6955,19,98,1
6955,13,98,98
6955,15,3,2
6955,7,100,99
6955,14,100,99
6955,20,0,100
6955,16,99,0
6784,1,34,72
6784,2,17,91
6784,18,38,68
6784,17,59,8
6784,14,92,17
6784,5,49,14
6784,3,26,60
6784,15,71,39
6784,6,26,54
6784,13,16,82
6784,20,82,5
6784,8,68,79
6784,21,94,63
6784,7,38,80
6784,16,60,66
6784,10,37,28
6784,4,60,54
6784,19,51,51
6784,11,51,63
6784,9,53,67
6784,12,50,56
6826,1,10,72
6826,2,25,63
6826,4,76,19
6826,20,68,67
6826,5,19,19
6826,8,37,62
6826,15,66,7
6826,21,98,99
6826,12,66,66
6826,7,15,74
6826,19,63,63
6826,18,28,27
6826,11,26,26
6826,10,80,41
6826,14,86,26
6826,6,72,72
6826,13,4,41
6826,17,4,0
6826,9,24,49
6826,3,30,53
6826,16,89,37
6759,1,27,46
6759,2,36,36
6759,18,33,27
6759,17,9,14
6759,10,43,29
6759,11,28,14
6759,7,24,44
6759,20,40,28
6759,5,36,41
6759,21,100,100
6759,4,49,35
6759,12,36,49
6759,3,48,63
6759,14,36,28
6759,8,35,44
6759,19,34,19
6759,16,31,16
6759,9,15,21
6759,13,26,35
6759,6,48,58
6759,15,24,13
6778,1,8,91
6778,2,56,94
6778,17,6,9
6778,16,10,9
6778,10,11,9
6778,19,59,18
6778,4,10,13
6778,7,60,63
6778,21,89,89
6778,20,99,40
6778,6,56,93
6778,13,31,63
6778,3,69,89
6778,5,53,52
6778,8,56,93
6778,15,36,26
6778,11,64,35
6778,14,100,48
6778,12,54,97
6778,9,36,32
6778,18,57,40
6452,1,28,68
6452,2,59,29
6452,3,52,71
